k default fnv-murmur fnv-jenkins jenkins-murmur defaultSHA
1	0.0957143	0.0585714	0.0585714	0.0657143	0.0871429
2	0.0171429	0.0171429	0.0157143	0.0257143	0.0157143
3	0.01	0.00285714	0.00285714	0.00571429	0.00857143
4	0.00428571	0.00428571	0.00428571	0.00428571	0.00285714
5	0.00428571	0.00142857	0	0.00285714	0.00142857
6	0.00428571	0.00142857	0.00142857	0.00142857	0.00142857
7	0.00285714	0	0	0	0.00142857
8	0.00142857	0	0	0	0
9	0	0	0	0.00142857	0
10	0	0.00142857	0	0	0
11	0	0	0.00285714	0.00142857	0.00142857
12	0.00285714	0.00142857	0.00142857	0.00142857	0
13	0.00285714	0	0	0.00285714	0
14	0.00285714	0	0	0.00428571	0
15	0.00285714	0.00142857	0.00142857	0.00285714	0
16	0.00285714	0.00142857	0.00428571	0.00285714	0.00142857
17	0.00428571	0.00428571	0.00571429	0.00142857	0.00142857
18	0.00142857	0.00428571	0.00714286	0.00428571	0.00142857
19	0.00142857	0.00285714	0.00571429	0.00428571	0.00285714
20	0.00428571	0.00714286	0.00571429	0.00571429	0.00142857
21	0.00428571	0.00428571	0.00857143	0.00714286	0.00285714
22	0.00285714	0.00714286	0.00714286	0.00428571	0.00571429
23	0.00714286	0.01	0.01	0.00571429	0.01
24	0.00857143	0.0114286	0.0128571	0.00571429	0.0128571
25	0.0114286	0.0142857	0.0157143	0.00857143	0.0128571
26	0.01	0.02	0.0157143	0.00857143	0.0114286
27	0.0128571	0.0214286	0.0171429	0.00857143	0.0142857
28	0.0128571	0.0271429	0.0228571	0.0114286	0.0128571
29	0.0142857	0.0328571	0.0228571	0.0142857	0.0185714
30	0.02	0.0385714	0.0214286	0.0185714	0.0214286
31	0.0242857	0.0457143	0.03	0.02	0.0242857
32	0.0214286	0.0428571	0.0328571	0.0314286	0.0242857
33	0.0228571	0.0471429	0.0357143	0.0371429	0.0285714
34	0.0257143	0.0514286	0.0442857	0.0428571	0.0342857
35	0.0342857	0.0528571	0.05	0.04	0.0385714
36	0.0414286	0.0514286	0.0571429	0.04	0.0428571
37	0.0514286	0.0557143	0.0657143	0.0485714	0.0614286
38	0.0528571	0.0671429	0.07	0.0542857	0.0742857
39	0.0585714	0.0785714	0.0842857	0.0685714	0.0771429
40	0.0657143	0.0857143	0.0942857	0.0785714	0.09
41	0.07	0.0942857	0.1	0.0871429	0.09
42	0.0757143	0.1	0.112857	0.0985714	0.0985714
43	0.0871429	0.112857	0.121429	0.108571	0.1
44	0.0971429	0.127143	0.142857	0.125714	0.105714
45	0.0985714	0.137143	0.145714	0.135714	0.12
46	0.112857	0.14	0.158571	0.151429	0.13
